,building,day,end,original_time,room,start
0,DEN,TTh,1100,500-620P,159,1020
1,DEN,TTh,1100,500-620P,159,1020
2,SAV,M,1010,330-450,260,930
3,MGH,M,1010,330-450,074,930
4,SMI,M,1010,330-450,305,930
5,MGH,M,1010,330-450,271,930
6,SMI,M,1010,330-450,309,930
7,SMI,M,1010,330-450,115,930
8,MGH,M,1010,330-450,238,930
9,SAV,M,1010,330-450,168,930
10,SAV,M,1010,330-450,130,930
11,THO,M,1010,330-450,217,930
12,THO,M,1010,330-450,215,930
13,MGH,M,1010,330-450,282,930
14,MGH,T,1010,330-450,389,930
15,DEN,T,1010,330-450,112,930
16,CLK,T,1010,330-450,219,930
17,MGH,T,1010,330-450,097,930
18,SMI,T,1010,330-450,109,930
19,MGH,T,1010,330-450,271,930
20,SMI,T,1010,330-450,311,930
21,SMI,T,1010,330-450,115,930
22,SAV,T,1010,330-450,168,930
23,MGH,T,1010,330-450,284,930
24,MGH,MW,740,1030-1220,284,630
25,DEN,TTh,980,230-420,258,870
26,MGH,TTh,920,130-320,206,810
27,MGH,MW,920,130-320,238,810
28,THO,MW,860,1230-220,325,750
29,MGH,MW,680,930-1120,206,570
30,LOW,T,1040,230-520,117,870
31,MGH,MW,860,1230-220,251,750
32,DEN,WF,1040,330-520,213,930
33,CMU,MW,920,130-320,230,810
34,MGH,TTh,740,1030-1220,242,630
35,SMI,MW,920,130-320,304,810
36,ALB,TTh,680,930-1120,G081L,570
37,DEN,TTh,980,230-420,212,870
38,SMI,TTh,860,1230-220,313,750
39,MGH,W,980,330-420,206,930
40,MGH,M,1010,330-450,085,930
41,MGH,T,1010,330-450,278,930
42,SMI,Th,980,230-420,407,870
43,GWN,MW,860,1230-220,301,750
44,THO,F,740,1130-1220,134,690
45,CMU,F,800,1230-120,226,750
46,CMU,F,860,130-220,226,810
47,GWN,MW,860,1230-220,301,750
48,THO,F,740,1130-1220,134,690
49,CMU,TTh,860,1230-220,226,750
50,GUG,TTh,680,1000-1120,220,600
51,SMI,F,620,930-1020,107,570
52,SMI,F,680,1030-1120,107,630
53,SMI,F,740,1130-1220,311,690
54,SMI,F,800,1230-120,311,750
55,THO,TTh,1040,330-520,119,930
56,KNE,TTh,860,1230-220,110,750
57,KNE,TTh,860,1230-220,110,750
58,DEN,TTh,740,1030-1220,259,630
59,SMI,TTh,740,1030-1220,105,630
60,SMI,TTh,980,230-420,304,870
61,LOW,TTh,740,1030-1220,101,630
62,DEN,MW,740,1030-1220,259,630
63,MOR,MW,740,1030-1220,225,630
64,THO,MW,920,130-320,134,810
65,CMU,MW,920,130-320,226,810
66,MLR,TTh,680,1000-1120,301,600
67,SMI,F,620,930-1020,405,570
68,SMI,F,680,1030-1120,405,630
69,SAV,MTWThF,740,1130-1220,158,690
70,SAV,MTWThF,800,1230-120,158,750
71,SAV,MTWThF,620,930-1020,158,570
72,SAV,MTWThF,620,930-1020,162,570
73,SAV,MTWThF,740,1130-1220,130,690
74,GLD,MTWThF,800,1230-120,117,750
75,SIG,MW,860,1230-220,134,750
76,CDH,MW,680,930-1120,110B,570
77,LOW,TTh,680,930-1120,106,570
78,MLR,TTh,980,230-420,316,870
79,SIG,TTh,800,1130-120,228,690
80,SMI,TTh,680,930-1120,102,570
81,SMI,MW,800,1130-120,313,690
82,THO,TTh,1040,330-520,134,930
83,SAV,WF,920,130-320,260,810
84,SAV,WF,920,130-320,260,810
85,KNE,MW,860,1230-220,110,750
86,SMI,Th,620,930-1020,313,570
87,MEB,Th,620,930-1020,237,570
88,SIG,Th,680,1030-1120,228,630
89,BAG,Th,680,1030-1120,261,630
90,SWS,Th,800,1230-120,B014,750
91,PAR,Th,740,1130-1220,213,690
92,CLK,Th,980,330-420,219,930
93,BAG,Th,980,330-420,108,930
94,GUG,TTh,860,1230-220,220,750
95,MEB,F,620,930-1020,234,570
96,EEB,F,620,930-1020,054,570
97,DEM,F,620,930-1020,124,570
98,CMU,F,800,1230-120,243,750
99,CHL,F,800,1230-120,101,750
100,CDH,F,800,1230-120,125,750
101,CDH,F,920,230-320,128,870
102,BLD,F,920,230-320,392,870
103,BLD,F,920,230-320,286,870
104,KNE,MWF,560,830-920,110,510
105,ARC,Th,620,930-1020,160,570
106,THO,Th,680,1030-1120,334,630
107,SMI,Th,740,1130-1220,311,690
108,THO,Th,800,1230-120,125,750
109,JHN,Th,800,1230-120,075,750
110,GUG,Th,920,230-320,218,870
111,THO,Th,920,230-320,125,870
112,SAV,Th,980,330-420,137,930
113,SAV,TTh,920,130-320,168,810
114,JHN,MW,1100,430-620P,075,990
115,PAA,W,1010,330-450,A102,930
116,SMI,MW,920,130-320,205,810
117,CMU,MW,740,1030-1220,326,630
118,CDH,TTh,740,1030-1220,115,630
119,CDH,MW,980,230-420,139,870
120,MUS,MW,740,1030-1220,223,630
121,SMI,W,1040,230-520,405,870
122,ARC,TTh,620,830-1020,G070,510
123,SIG,TTh,620,830-1020,228,510
124,CMU,MW,920,130-320,230,810
125,PAA,W,1010,330-450,A102,930
126,THO,Th,860,1130-220,217,690
127,ARC,TTh,620,830-1020,G070,510
128,DEN,TTh,920,130-320,313,810
129,SIG,MW,740,1130-1220,134,690
130,SMI,MWThF,560,830-920,305,510
131,DEN,Th,680,1030-1120,410,630
132,DEN,Th,620,930-1020,410,570
133,SMI,MW,770,1130-1250,404,690
134,SMI,MTWTh,680,1030-1120,404,630
135,DEN,TTh,1040,330-520,259,930
136,DEN,MW,920,130-320,403,810
137,DEN,MW,980,330-420,403,930
138,SMI,MW,950,230-350,120,870
139,DEN,M,860,130-220,410,810
140,DEN,M,680,1030-1120,410,630
141,DEN,M,740,1130-1220,410,690
142,DEN,M,800,1230-120,410,750
143,DEN,W,860,130-220,410,810
144,DEN,W,680,1030-1120,410,630
145,DEN,W,740,1130-1220,410,690
146,DEN,W,800,1230-120,410,750
147,KNE,MWThF,560,830-920,210,510
148,DEN,T,560,830-920,410,510
149,DEN,T,680,1030-1120,410,630
150,DEN,T,740,1130-1220,410,690
151,DEN,T,620,930-1020,410,570
152,KNE,TTh,980,230-420,210,870
153,SMI,MW,950,230-350,120,870
154,DEN,F,800,1130-120,410,690
155,DEN,F,920,130-320,410,810
156,DEN,MWF,620,900-1020,410,540
157,SMI,TTh,740,1030-1220,115,630
158,SMI,MWF,860,100-220,404,780
159,DEN,MWF,620,900-1020,410,540
160,SMI,MWF,860,100-220,404,780
161,GWN,MTWF,560,830-920,301,510
162,KNE,MTWF,620,930-1020,210,570
163,GWN,MTWF,980,330-420,301,930
164,MOR,MWF,680,1030-1120,230,630
165,CMU,MWF,800,1230-120,120,750
166,MOR,TTh,950,230-350,220,870
167,LOW,MTWF,920,230-320,205,870
168,CMU,MW,1070,430-550P,B027,990
169,MEB,MWF,620,930-1020,248,570
170,SMI,Th,1040,330-520,205,930
171,LEW,Th,860,130-220,208,810
172,LEW,F,800,1230-120,208,750
173,LEW,Th,710,1100-1150,208,660
174,LEW,T,1100,400-620,208,960
175,LEW,T,620,930-1020,208,570
176,LEW,T,710,1100-1150,212,660
177,LOW,MTWF,860,130-220,216,810
178,JHN,MTWF,740,1130-1220,175,690
179,DEM,MW,620,900-1020,012,540
180,CMU,MW,1070,430-550P,B027,990
181,DEN,MWF,800,1230-120,111,750
182,DEN,MWF,740,1130-1220,212,690
183,DEN,MWF,860,130-220,212,810
184,DEN,MWF,680,1030-1120,210,630
185,LOW,MWF,560,830-920,216,510
186,LOW,MWF,560,830-920,216,510
187,LOW,MWF,920,230-320,216,870
188,LOW,MWF,920,230-320,216,870
189,LOW,MWF,980,330-420,206,930
190,LOW,TTh,710,1030-1150,202,630
191,LOW,MW,920,130-320,206,810
192,LOW,MW,740,1030-1220,216,630
193,LOW,TTh,890,100-250,206,780
194,LOW,MW,1160,530-720P,216,1050
195,ART,TTh,650,930-1050,327,570
196,ART,TTh,650,930-1050,327,570
197,ART,TTh,650,930-1050,327,570
198,ART,TTh,650,930-1050,327,570
199,ART,MW,860,1130-220,116,690
200,ART,MW,680,830-1120,110,510
201,ART,MW,860,1130-220,304,690
202,ART,TTh,860,1130-220,325,690
203,ART,MW,680,830-1120,325,510
204,ART,MW,1040,230-520,304,870
205,CMA,TTh,680,830-1120,115,510
206,ART,TTh,860,1130-220,110,690
207,ART,MW,860,1130-220,210,690
208,ART,MW,860,1130-220,207,690
209,ART,TTh,860,1130-220,124,690
210,ART,MW,1040,230-520,124,870
211,ART,MW,860,1130-220,110,690
212,ART,TTh,1040,230-520,125,870
213,ART,MW,860,1130-220,125,690
214,ART,MW,680,830-1120,304,510
215,ART,MW,680,830-1120,322,510
216,CMA,TTh,860,1130-220,116,690
217,ART,TTh,860,1130-220,116,690
218,ART,TTh,860,1130-220,201,690
219,CMA,MW,860,1130-220,105,690
220,ART,MW,1040,230-520,207,870
221,CMA,MW,1040,230-520,114,870
222,ART,TTh,1040,230-520,325,870
223,ART,TTh,860,1130-220,320,690
224,ART,MW,1040,230-520,322,870
225,ART,TTh,860,1130-220,320,690
226,ART,MW,1040,230-520,322,870
227,ART,MW,1040,230-520,204,870
228,ART,TTh,1040,230-520,116,870
229,CMA,TTh,1040,230-520,114,870
230,ART,TTh,680,830-1120,301,510
231,ART,TTh,1040,230-520,325,870
232,ART,TTh,1040,230-520,310,870
233,ART,TTh,1040,230-520,310,870
234,ART,TTh,1040,230-520,110,870
235,ART,W,1280,630-920P,003,1110
236,ART,MWF,950,230-350,003,870
237,GWN,TTh,680,1000-1120,301,600
238,ART,W,620,930-1020,317,570
239,ART,W,680,1030-1120,317,630
240,ART,W,740,1130-1220,317,690
241,ART,W,860,130-220,317,810
242,CDH,MW,860,100-220,109,780
243,ART,F,680,1030-1120,317,630
244,ART,F,740,1130-1220,317,690
245,ART,F,860,130-220,317,810
246,ART,F,920,230-320,317,870
